"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""

"J1752,""PAD_6"",""162mm"",""101.732mm"",""162mm"",""101.732mm"",""162mm"",""101.732mm"",""T"",""90.00"",""PIN"""
"J1751,""PAD_6"",""162mm"",""98.268mm"",""162mm"",""98.268mm"",""162mm"",""98.268mm"",""T"",""90.00"",""PIN"""
"J1750,""PAD_6"",""162mm"",""94.804mm"",""162mm"",""94.804mm"",""162mm"",""94.804mm"",""T"",""90.00"",""PIN"""
"J1749,""PAD_6"",""160mm"",""105.196mm"",""160mm"",""105.196mm"",""160mm"",""105.196mm"",""T"",""90.00"",""PIN"""
"J1748,""PAD_6"",""160mm"",""101.732mm"",""160mm"",""101.732mm"",""160mm"",""101.732mm"",""T"",""90.00"",""PIN"""
"J1747,""PAD_6"",""161mm"",""100mm"",""161mm"",""100mm"",""161mm"",""100mm"",""T"",""90.00"",""PIN"""
"J1746,""PAD_6"",""160mm"",""98.268mm"",""160mm"",""98.268mm"",""160mm"",""98.268mm"",""T"",""90.00"",""PIN"""
"J1745,""PAD_6"",""160mm"",""94.804mm"",""160mm"",""94.804mm"",""160mm"",""94.804mm"",""T"",""90.00"",""PIN"""
"J1744,""PAD_6"",""160mm"",""91.34mm"",""160mm"",""91.34mm"",""160mm"",""91.34mm"",""T"",""90.00"",""PIN"""
"J1743,""PAD_6"",""160mm"",""87.876mm"",""160mm"",""87.876mm"",""160mm"",""87.876mm"",""T"",""90.00"",""PIN"""
"J1742,""PAD_6"",""159mm"",""120.785mm"",""159mm"",""120.785mm"",""159mm"",""120.785mm"",""T"",""90.00"",""PIN"""
"J1741,""PAD_6"",""158mm"",""119.053mm"",""158mm"",""119.053mm"",""158mm"",""119.053mm"",""T"",""90.00"",""PIN"""
"J1740,""PAD_6"",""158mm"",""108.66mm"",""158mm"",""108.66mm"",""158mm"",""108.66mm"",""T"",""90.00"",""PIN"""
"J1739,""PAD_6"",""158mm"",""101.732mm"",""158mm"",""101.732mm"",""158mm"",""101.732mm"",""T"",""90.00"",""PIN"""
"J1738,""PAD_6"",""158mm"",""91.34mm"",""158mm"",""91.34mm"",""158mm"",""91.34mm"",""T"",""90.00"",""PIN"""
"J1737,""PAD_6"",""159mm"",""89.608mm"",""159mm"",""89.608mm"",""159mm"",""89.608mm"",""T"",""90.00"",""PIN"""
"J1736,""PAD_6"",""159mm"",""82.679mm"",""159mm"",""82.679mm"",""159mm"",""82.679mm"",""T"",""90.00"",""PIN"""
"J1735,""PAD_6"",""158mm"",""77.483mm"",""158mm"",""77.483mm"",""158mm"",""77.483mm"",""T"",""90.00"",""PIN"""
"J1734,""PAD_6"",""157mm"",""120.785mm"",""157mm"",""120.785mm"",""157mm"",""120.785mm"",""T"",""90.00"",""PIN"""
"J1733,""PAD_6"",""156mm"",""115.588mm"",""156mm"",""115.588mm"",""156mm"",""115.588mm"",""T"",""90.00"",""PIN"""
"J1732,""PAD_6"",""157mm"",""113.856mm"",""157mm"",""113.856mm"",""157mm"",""113.856mm"",""T"",""90.00"",""PIN"""
"J1731,""PAD_6"",""156mm"",""112.124mm"",""156mm"",""112.124mm"",""156mm"",""112.124mm"",""T"",""90.00"",""PIN"""
"J1730,""PAD_6"",""157mm"",""110.392mm"",""157mm"",""110.392mm"",""157mm"",""110.392mm"",""T"",""90.00"",""PIN"""
"J1729,""PAD_6"",""156mm"",""101.732mm"",""156mm"",""101.732mm"",""156mm"",""101.732mm"",""T"",""90.00"",""PIN"""
"J1728,""PAD_6"",""157mm"",""100mm"",""157mm"",""100mm"",""157mm"",""100mm"",""T"",""90.00"",""PIN"""
"J1727,""PAD_6"",""156mm"",""98.268mm"",""156mm"",""98.268mm"",""156mm"",""98.268mm"",""T"",""90.00"",""PIN"""
"J1726,""PAD_6"",""157mm"",""93.072mm"",""157mm"",""93.072mm"",""157mm"",""93.072mm"",""T"",""90.00"",""PIN"""
"J1725,""PAD_6"",""157mm"",""89.608mm"",""157mm"",""89.608mm"",""157mm"",""89.608mm"",""T"",""90.00"",""PIN"""
"J1724,""PAD_6"",""156mm"",""87.876mm"",""156mm"",""87.876mm"",""156mm"",""87.876mm"",""T"",""90.00"",""PIN"""
"J1723,""PAD_6"",""157mm"",""79.215mm"",""157mm"",""79.215mm"",""157mm"",""79.215mm"",""T"",""90.00"",""PIN"""
"J1722,""PAD_6"",""157mm"",""75.751mm"",""157mm"",""75.751mm"",""157mm"",""75.751mm"",""T"",""90.00"",""PIN"""
"J1721,""PAD_6"",""155mm"",""127.713mm"",""155mm"",""127.713mm"",""155mm"",""127.713mm"",""T"",""90.00"",""PIN"""
"J1720,""PAD_6"",""154mm"",""119.053mm"",""154mm"",""119.053mm"",""154mm"",""119.053mm"",""T"",""90.00"",""PIN"""
"J1719,""PAD_6"",""155mm"",""117.321mm"",""155mm"",""117.321mm"",""155mm"",""117.321mm"",""T"",""90.00"",""PIN"""
"J1718,""PAD_6"",""155mm"",""113.856mm"",""155mm"",""113.856mm"",""155mm"",""113.856mm"",""T"",""90.00"",""PIN"""
"J1717,""PAD_6"",""154mm"",""112.124mm"",""154mm"",""112.124mm"",""154mm"",""112.124mm"",""T"",""90.00"",""PIN"""
"J1716,""PAD_6"",""155mm"",""103.464mm"",""155mm"",""103.464mm"",""155mm"",""103.464mm"",""T"",""90.00"",""PIN"""
"J1715,""PAD_6"",""154mm"",""101.732mm"",""154mm"",""101.732mm"",""154mm"",""101.732mm"",""T"",""90.00"",""PIN"""
"J1714,""PAD_6"",""155mm"",""100mm"",""155mm"",""100mm"",""155mm"",""100mm"",""T"",""90.00"",""PIN"""
"J1713,""PAD_6"",""154mm"",""98.268mm"",""154mm"",""98.268mm"",""154mm"",""98.268mm"",""T"",""90.00"",""PIN"""
"J1712,""PAD_6"",""154mm"",""91.34mm"",""154mm"",""91.34mm"",""154mm"",""91.34mm"",""T"",""90.00"",""PIN"""
"J1711,""PAD_6"",""155mm"",""86.144mm"",""155mm"",""86.144mm"",""155mm"",""86.144mm"",""T"",""90.00"",""PIN"""
"J1710,""PAD_6"",""155mm"",""82.679mm"",""155mm"",""82.679mm"",""155mm"",""82.679mm"",""T"",""90.00"",""PIN"""
"J1709,""PAD_6"",""154mm"",""80.947mm"",""154mm"",""80.947mm"",""154mm"",""80.947mm"",""T"",""90.00"",""PIN"""
"J1708,""PAD_6"",""155mm"",""79.215mm"",""155mm"",""79.215mm"",""155mm"",""79.215mm"",""T"",""90.00"",""PIN"""
"J1707,""PAD_6"",""155mm"",""72.287mm"",""155mm"",""72.287mm"",""155mm"",""72.287mm"",""T"",""90.00"",""PIN"""
"J1706,""PAD_6"",""154mm"",""70.555mm"",""154mm"",""70.555mm"",""154mm"",""70.555mm"",""T"",""90.00"",""PIN"""
"J1705,""PAD_6"",""152mm"",""132.909mm"",""152mm"",""132.909mm"",""152mm"",""132.909mm"",""T"",""90.00"",""PIN"""
"J1704,""PAD_6"",""153mm"",""131.177mm"",""153mm"",""131.177mm"",""153mm"",""131.177mm"",""T"",""90.00"",""PIN"""
"J1703,""PAD_6"",""152mm"",""129.445mm"",""152mm"",""129.445mm"",""152mm"",""129.445mm"",""T"",""90.00"",""PIN"""
"J1702,""PAD_6"",""153mm"",""127.713mm"",""153mm"",""127.713mm"",""153mm"",""127.713mm"",""T"",""90.00"",""PIN"""
"J1701,""PAD_6"",""152mm"",""122.517mm"",""152mm"",""122.517mm"",""152mm"",""122.517mm"",""T"",""90.00"",""PIN"""
"J1700,""PAD_6"",""153mm"",""120.785mm"",""153mm"",""120.785mm"",""153mm"",""120.785mm"",""T"",""90.00"",""PIN"""
"J1699,""PAD_6"",""152mm"",""119.053mm"",""152mm"",""119.053mm"",""152mm"",""119.053mm"",""T"",""90.00"",""PIN"""
"J1698,""PAD_6"",""153mm"",""117.321mm"",""153mm"",""117.321mm"",""153mm"",""117.321mm"",""T"",""90.00"",""PIN"""
"J1697,""PAD_6"",""152mm"",""112.124mm"",""152mm"",""112.124mm"",""152mm"",""112.124mm"",""T"",""90.00"",""PIN"""
"J1696,""PAD_6"",""153mm"",""110.392mm"",""153mm"",""110.392mm"",""153mm"",""110.392mm"",""T"",""90.00"",""PIN"""
"J1695,""PAD_6"",""152mm"",""108.66mm"",""152mm"",""108.66mm"",""152mm"",""108.66mm"",""T"",""90.00"",""PIN"""
"J1694,""PAD_6"",""153mm"",""103.464mm"",""153mm"",""103.464mm"",""153mm"",""103.464mm"",""T"",""90.00"",""PIN"""
"J1693,""PAD_6"",""152mm"",""101.732mm"",""152mm"",""101.732mm"",""152mm"",""101.732mm"",""T"",""90.00"",""PIN"""
"J1692,""PAD_6"",""153mm"",""100mm"",""153mm"",""100mm"",""153mm"",""100mm"",""T"",""90.00"",""PIN"""
