       x [mm]         y [mm]         z [mm]     KxRe [A/m]     KyRe [A/m]     KzRe [A/m]     KxIm [A/m]     KyIm [A/m]     KzIm [A/m]    Area [mm^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
     -1.16667        1.44342      -0.333333              0              0              0              0              0              0       0.100002
     -1.66667       0.577367      -0.333333              0              0              0              0              0              0       0.100002
     -1.33333        1.15473      -0.266667              0              0              0              0              0              0       0.100002
         -1.3       0.577367           -0.2     -0.0020004   -0.000354042              0     0.00249298    0.000448726             -0       0.129907
     -1.23333        1.15473           -0.2    -0.00207274   -0.000208268              0     0.00242088    0.000589194             -0       0.129907
    -0.666667       0.577367           -0.2    -0.00170136   -0.000281795             -0      0.0031503    0.000214348              0        0.34642
    -0.866667        1.15473           -0.2    -0.00189684   -0.000186802              0     0.00280753     0.00048692             -0        0.34642
  1.4803e-016        1.15473           -0.2    -0.00168238   5.95491e-011              0      0.0035407  -2.45303e-011             -0        0.34642
    -0.466667        1.44342           -0.2    -0.00173453  -8.91375e-005              0     0.00340203    0.000253489             -0       0.433025
     0.333333         1.7321      -0.266667              0              0              0              0              0              0            0.1
    -0.333333         1.7321      -0.333333              0              0              0              0              0              0            0.1
 -1.4803e-016        1.15473           -0.4              0              0              0              0              0              0        0.34642
    -0.466667        1.44342           -0.4              0              0              0              0              0              0       0.433025
    -0.133333       0.577367           -0.4              0              0              0              0              0              0        0.34642
    -0.666667       0.288683           -0.4              0              0              0              0              0              0        0.34642
    -0.666667      -0.577367           -0.4              0              0              0              0              0              0        0.34642
    -0.933333      -0.288683           -0.4              0              0              0              0              0              0        0.34642
     -1.23333       -1.15473           -0.4              0              0              0              0              0              0       0.129908
         -1.3      -0.577367           -0.4              0              0              0              0              0              0       0.129907
     -1.33333       -1.15473      -0.333333              0              0              0              0              0              0       0.100002
     -1.66667      -0.577367      -0.266667              0              0              0              0              0              0       0.100002
     -1.23333       -1.15473           -0.2    -0.00149262   -0.000707774              0     0.00149617   -0.000544677             -0       0.129908
         -1.3      -0.577367           -0.2    -0.00162985   -0.000708741              0     0.00200986   -0.000388989             -0       0.129907
    -0.866667       -1.15473           -0.2     -0.0014486   -0.000580184              0     0.00189013   -0.000448001             -0        0.34642
    -0.933333      -0.577367           -0.2    -0.00158584   -0.000581151              0     0.00240382   -0.000292313             -0        0.34642
  1.4803e-016       -1.15473           -0.2    -0.00118015  -3.63798e-011              0      0.0026199  -6.54836e-011             -0        0.34642
    -0.133333      -0.577367           -0.2    -0.00154629   -0.000157871              0     0.00264083   -0.000188042              0        0.34642
     0.866667       -1.15473           -0.2     -0.0014486    0.000580184             -0     0.00189013    0.000448001             -0        0.34642
     0.666667      -0.577367           -0.2    -0.00155503     0.00042395              0     0.00267959    0.000171297              0        0.34642
          1.3      -0.577367           -0.2    -0.00162985    0.000708741             -0     0.00200986    0.000388989             -0       0.129907
     0.933333      -0.288683           -0.2      -0.001608    0.000494018              0     0.00284838   6.81072e-005              0        0.34642
     0.933333       0.577367           -0.2    -0.00182449    0.000332576             -0     0.00287964   -0.000346452             -0        0.34642
          1.3       0.577367           -0.2     -0.0020004    0.000354042              0     0.00249298   -0.000448726              0       0.129907
      1.23333        1.15473           -0.2    -0.00207274    0.000208268             -0     0.00242088   -0.000589195             -0       0.129907
      1.66667       0.577367      -0.266667              0              0              0              0              0              0       0.100002
      1.33333        1.15473      -0.333333              0              0              0              0              0              0       0.100002
      1.23333        1.15473           -0.4              0              0              0              0              0              0       0.129908
          1.3       0.577367           -0.4              0              0              0              0              0              0       0.129908
     0.933333       0.288683           -0.4              0              0              0              0              0              0        0.34642
     0.933333      -0.577367           -0.4              0              0              0              0              0              0        0.34642
     0.666667      -0.288683           -0.4              0              0              0              0              0              0        0.34642
